# coverage-rows gate self-test fixture (one entity per dimension).
# cols: dim	entity	carrier	provenance	states	class	slice
D1	Ent01.png	carrier/d1.md	prov/d1	1	numeric	selftest
D2	Ent02.png	carrier/d2.md	prov/d2	1	numeric	selftest
D3	Ent03.png	carrier/d3.md	prov/d3	1	numeric	selftest
D4	Ent04.png	carrier/d4.md	prov/d4	1	numeric	selftest
D5	Ent05.png	carrier/d5.md	prov/d5	1	numeric	selftest
D6	Ent06.png	carrier/d6.md	prov/d6	1	numeric	selftest
D7	Ent07.png	carrier/d7.md	prov/d7	1	numeric	selftest
D8	Ent08.png	carrier/d8.md	prov/d8	1	numeric	selftest
D9	Ent09.png	carrier/d9.md	prov/d9	1	numeric	selftest
D10	Ent10.png	carrier/d10.md	prov/d10	1	numeric	selftest
D11	Ent11.png	carrier/d11.md	prov/d11	1	numeric	selftest
D12	Ent12.png	carrier/d12.md	prov/d12	1	numeric	selftest
S1	Ent13.png	carrier/s1.md	prov/s1	1	numeric	selftest
S2	Ent14.png	carrier/s2.md	prov/s2	1	numeric	selftest
S3	Ent15.png	carrier/s3.md	prov/s3	1	numeric	selftest
